revenue,gross_margin_pct,conversion_rate,cac,return_rate,order_count,sessions,spend,data_completeness,freshness_hours,region_EU,region_RoW,region_UK
1411.34,0.40684654300168627,0.027559055118110236,32.086,0.2857142857142857,7,254,641.72,1.0,0.0,1.0,0.0,0.0
28956.72,0.3964129984335243,0.02246705551955066,20.8812865497076,0.25,104,4629,7141.4,1.0,0.0,0.0,0.0,1.0
2541.57,0.40277682692194194,0.026143790849673203,32.086,0.0,4,153,641.72,1.0,24.0,1.0,0.0,0.0
50368.42,0.4110026560293136,0.02296387017758726,20.8812865497076,0.30666666666666664,75,3266,7141.4,1.0,24.0,0.0,0.0,1.0
3451.77,0.3967411212218659,0.030303030303030304,32.086,0.16666666666666666,6,198,641.72,1.0,48.0,1.0,0.0,0.0
258.9,0.37908458864426414,0.030303030303030304,43.44,0.0,1,33,130.32,1.0,48.0,0.0,1.0,0.0
33986.05,0.39494542319569353,0.02007587733164717,20.8812865497076,0.5669291338582677,127,6326,7141.4,1.0,48.0,0.0,0.0,1.0
5265.7,0.39117247469472244,0.031914893617021274,32.086,0.5333333333333333,15,470,641.72,1.0,72.0,1.0,0.0,0.0
3794.3999999999996,0.35000000000000003,0.024390243902439025,43.44,0.0,1,41,130.32,1.0,72.0,0.0,1.0,0.0
27626.75,0.4029919190639507,0.028996469994957134,20.8812865497076,0.5565217391304348,115,3966,7141.4,1.0,72.0,0.0,0.0,1.0
4322.31,0.39319449553595187,0.01904761904761905,32.086,0.0,4,210,641.72,1.0,96.0,1.0,0.0,0.0
27105.04,0.39902086106495327,0.017140173749706503,20.8812865497076,0.9452054794520548,73,4259,7141.4,1.0,96.0,0.0,0.0,1.0
3590.59,0.403273668115825,0.04,43.44,0.0,1,25,130.32,1.0,144.0,0.0,1.0,0.0
13627.03,0.3992292891407739,0.04107292539815591,20.8812865497076,0.24489795918367346,49,1193,7141.4,1.0,144.0,0.0,0.0,1.0
728.56,0.38868672449763914,0.026490066225165563,26.502857142857145,1.0,4,151,371.04,1.0,0.0,1.0,0.0,0.0
26559.62,0.40219647344352066,0.03056392595781317,23.874102564102564,0.18309859154929578,71,2323,4655.45,1.0,0.0,0.0,0.0,1.0
1530.97,0.39507064148872933,0.03289473684210526,26.502857142857145,1.0,5,152,371.04,1.0,24.0,1.0,0.0,0.0
-27.75,0.3500000000000001,0.02857142857142857,28.49666666666667,3.0,1,35,85.49000000000001,1.0,24.0,0.0,1.0,0.0
25373.18,0.3960406697150298,0.02199964228223931,23.874102564102564,0.5365853658536586,123,5591,4655.45,1.0,24.0,0.0,0.0,1.0
122.83,0.4085948058291948,0.02112676056338028,26.502857142857145,2.3333333333333335,3,142,371.04,1.0,48.0,1.0,0.0,0.0
-227.44,0.4,0.02702702702702703,28.49666666666667,2.0,1,37,85.49000000000001,1.0,48.0,0.0,1.0,0.0
29414.43,0.4024076482189184,0.032904689863842665,23.874102564102564,0.3448275862068966,87,2644,4655.45,1.0,48.0,0.0,0.0,1.0
1118.96,0.40387824408379214,0.023026315789473683,26.502857142857145,1.1428571428571428,7,304,371.04,1.0,72.0,1.0,0.0,0.0
46646.57,0.3910857004062678,0.02044525215810995,23.874102564102564,0.22962962962962963,135,6603,4655.45,1.0,72.0,0.0,0.0,1.0
9075.0,0.39065650688705233,0.01752577319587629,26.502857142857145,0.0,17,970,371.04,1.0,96.0,1.0,0.0,0.0
415.7,0.40461871541977384,0.02857142857142857,28.49666666666667,0.0,1,35,85.49000000000001,1.0,96.0,0.0,1.0,0.0
7789.72,0.3990860133611992,0.016935150764147047,23.874102564102564,0.1951219512195122,41,2421,4655.45,1.0,96.0,0.0,0.0,1.0
808.97,0.40158596734118696,0.05,26.502857142857145,0.0,2,40,371.04,1.0,144.0,1.0,0.0,0.0
6518.82,0.4009848561549482,0.05504587155963303,23.874102564102564,0.2222222222222222,18,327,4655.45,1.0,144.0,0.0,0.0,1.0
1783.6699999999998,0.3972898013646021,0.024024024024024024,40.12875,4.5,8,333,321.03,1.0,0.0,1.0,0.0,0.0
15559.91,0.3976091699759189,0.029588336192109776,31.0028125,0.6956521739130435,69,2332,992.09,1.0,0.0,0.0,0.0,1.0
